name,origin,acceleration,horse_power,miles_per_gallon,year
toyouta corona mark ii (sw),Japan,14.5,97,23.0,1972-01-01
dodge colt (sw),USA,15.0,80,28.0,1972-01-01
toyota corolla 1600 (sw),Japan,16.5,88,27.0,1972-01-01
buick century 350,USA,13.0,175,13.0,1973-01-01
amc matador,USA,11.5,150,14.0,1973-01-01
chevrolet malibu,USA,13.0,145,13.0,1973-01-01
ford gran torino,USA,14.5,137,14.0,1973-01-01
dodge coronet custom,USA,12.5,150,15.0,1973-01-01
mercury marquis brougham,USA,11.5,198,12.0,1973-01-01
chevrolet caprice classic,USA,12.0,150,13.0,1973-01-01
ford ltd,USA,13.0,158,13.0,1973-01-01
plymouth fury gran sedan,USA,14.5,150,14.0,1973-01-01
chrysler new yorker brougham,USA,11.0,215,13.0,1973-01-01
buick electra 225 custom,USA,11.0,225,12.0,1973-01-01
amc ambassador brougham,USA,11.0,175,13.0,1973-01-01
plymouth valiant,USA,16.5,105,18.0,1973-01-01
chevrolet nova custom,USA,18.0,100,16.0,1973-01-01
amc hornet,USA,16.0,100,18.0,1973-01-01
ford maverick,USA,16.5,88,18.0,1973-01-01
plymouth duster,USA,16.0,95,23.0,1973-01-01
volkswagen super beetle,Europe,21.0,46,26.0,1973-01-01
chevrolet impala,USA,14.0,150,11.0,1973-01-01
ford country,USA,12.5,167,12.0,1973-01-01
plymouth custom suburb,USA,13.0,170,13.0,1973-01-01
oldsmobile vista cruiser,USA,12.5,180,12.0,1973-01-01
amc gremlin,USA,15.0,100,18.0,1973-01-01
toyota carina,Japan,19.0,88,20.0,1973-01-01
chevrolet vega,USA,19.5,72,21.0,1973-01-01
datsun 610,Japan,16.5,94,22.0,1973-01-01
maxda rx3,Japan,13.5,90,18.0,1973-01-01
ford pinto,USA,18.5,85,19.0,1973-01-01
mercury capri v6,USA,14.0,107,21.0,1973-01-01
fiat 124 sport coupe,Europe,15.5,90,26.0,1973-01-01
chevrolet monte carlo s,USA,13.0,145,15.0,1973-01-01
pontiac grand prix,USA,9.5,230,16.0,1973-01-01
fiat 128,Europe,19.5,49,29.0,1973-01-01
opel manta,Europe,15.5,75,24.0,1973-01-01
audi 100ls,Europe,14.0,91,20.0,1973-01-01
volvo 144ea,Europe,15.5,112,19.0,1973-01-01
dodge dart custom,USA,11.0,150,15.0,1973-01-01
saab 99le,Europe,14.0,110,24.0,1973-01-01
toyota mark ii,Japan,13.5,122,20.0,1973-01-01
oldsmobile omega,USA,11.0,180,11.0,1973-01-01
plymouth duster,USA,16.5,95,20.0,1974-01-01
ford maverick,USA,17.0,"",21.0,1974-01-01
amc hornet,USA,16.0,100,19.0,1974-01-01
chevrolet nova,USA,17.0,100,15.0,1974-01-01
datsun b210,Japan,19.0,67,31.0,1974-01-01
ford pinto,USA,16.5,80,26.0,1974-01-01
toyota corolla 1200,Japan,21.0,65,32.0,1974-01-01
chevrolet vega,USA,17.0,75,25.0,1974-01-01
chevrolet chevelle malibu classic,USA,17.0,100,16.0,1974-01-01
amc matador,USA,18.0,110,16.0,1974-01-01
plymouth satellite sebring,USA,16.5,105,18.0,1974-01-01
ford gran torino,USA,14.0,140,16.0,1974-01-01
buick century luxus (sw),USA,14.5,150,13.0,1974-01-01
dodge coronet custom (sw),USA,13.5,150,14.0,1974-01-01
ford gran torino (sw),USA,16.0,140,14.0,1974-01-01
amc matador (sw),USA,15.5,150,14.0,1974-01-01
audi fox,Europe,16.5,83,29.0,1974-01-01
volkswagen dasher,Europe,15.5,67,26.0,1974-01-01
opel manta,Europe,14.5,78,26.0,1974-01-01
toyota corona,Japan,16.5,52,31.0,1974-01-01
datsun 710,Japan,19.0,61,32.0,1974-01-01
dodge colt,USA,14.5,75,28.0,1974-01-01
fiat 128,Europe,15.5,75,24.0,1974-01-01
fiat 124 tc,Europe,14.0,75,26.0,1974-01-01
honda civic,Japan,15.0,97,24.0,1974-01-01
subaru,Japan,15.5,93,26.0,1974-01-01
fiat x1.9,Europe,16.0,67,31.0,1974-01-01
plymouth valiant custom,USA,16.0,95,19.0,1975-01-01
chevrolet nova,USA,16.0,105,18.0,1975-01-01
mercury monarch,USA,21.0,72,15.0,1975-01-01
ford maverick,USA,19.5,72,15.0,1975-01-01
pontiac catalina,USA,11.5,170,16.0,1975-01-01
chevrolet bel air,USA,14.0,145,15.0,1975-01-01
plymouth grand fury,USA,14.5,150,16.0,1975-01-01
ford ltd,USA,13.5,148,14.0,1975-01-01
buick century,USA,21.0,110,17.0,1975-01-01
chevroelt chevelle malibu,USA,18.5,105,16.0,1975-01-01
amc matador,USA,19.0,110,15.0,1975-01-01
plymouth fury,USA,19.0,95,18.0,1975-01-01
buick skyhawk,USA,15.0,110,21.0,1975-01-01
chevrolet monza 2+2,USA,13.5,110,20.0,1975-01-01
ford mustang ii,USA,12.0,129,13.0,1975-01-01
toyota corolla,Japan,16.0,75,29.0,1975-01-01
ford pinto,USA,17.0,83,23.0,1975-01-01
amc gremlin,USA,16.0,100,20.0,1975-01-01
pontiac astro,USA,18.5,78,23.0,1975-01-01
toyota corona,Japan,13.5,96,24.0,1975-01-01
volkswagen dasher,Europe,16.5,71,25.0,1975-01-01
datsun 710,Japan,17.0,97,24.0,1975-01-01
ford pinto,USA,14.5,97,18.0,1975-01-01
volkswagen rabbit,Europe,14.0,70,29.0,1975-01-01
amc pacer,USA,17.0,90,19.0,1975-01-01
audi 100ls,Europe,15.0,95,23.0,1975-01-01
peugeot 504,Europe,17.0,88,23.0,1975-01-01
volvo 244dl,Europe,14.5,98,22.0,1975-01-01
saab 99le,Europe,13.5,115,25.0,1975-01-01
honda civic cvcc,Japan,17.5,53,33.0,1975-01-01
fiat 131,Europe,15.5,86,28.0,1976-01-01
opel 1900,Europe,16.9,81,25.0,1976-01-01
capri ii,USA,14.9,92,25.0,1976-01-01
dodge colt,USA,17.7,79,26.0,1976-01-01
renault 12tl,Europe,15.3,83,27.0,1976-01-01
chevrolet chevelle malibu classic,USA,13.0,140,17.5,1976-01-01
dodge coronet brougham,USA,13.0,150,16.0,1976-01-01
amc matador,USA,13.9,120,15.5,1976-01-01
ford gran torino,USA,12.8,152,14.5,1976-01-01
plymouth valiant,USA,15.4,100,22.0,1976-01-01
chevrolet nova,USA,14.5,105,22.0,1976-01-01
ford maverick,USA,17.6,81,24.0,1976-01-01
amc hornet,USA,17.6,90,22.5,1976-01-01
chevrolet chevette,USA,22.2,52,29.0,1976-01-01
chevrolet woody,USA,22.1,60,24.5,1976-01-01
vw rabbit,Europe,14.2,70,29.0,1976-01-01
honda civic,Japan,17.4,53,33.0,1976-01-01
dodge aspen se,USA,17.7,100,20.0,1976-01-01
ford granada ghia,USA,21.0,78,18.0,1976-01-01
pontiac ventura sj,USA,16.2,110,18.5,1976-01-01
amc pacer d/l,USA,17.8,95,17.5,1976-01-01
volkswagen rabbit,Europe,12.2,71,29.5,1976-01-01
datsun b-210,Japan,17.0,70,32.0,1976-01-01
toyota corolla,Japan,16.4,75,28.0,1976-01-01
ford pinto,USA,13.6,72,26.5,1976-01-01
volvo 245,Europe,15.7,102,20.0,1976-01-01
plymouth volare premier v8,USA,13.2,150,13.0,1976-01-01
peugeot 504,Europe,21.9,88,19.0,1976-01-01
toyota mark ii,Japan,15.5,108,19.0,1976-01-01
mercedes-benz 280s,Europe,16.7,120,16.5,1976-01-01
cadillac seville,USA,12.1,180,16.5,1976-01-01
chevy c10,USA,12.0,145,13.0,1976-01-01
ford f108,USA,15.0,130,13.0,1976-01-01
dodge d100,USA,14.0,150,13.0,1976-01-01
honda Accelerationord cvcc,Japan,18.5,68,31.5,1977-01-01
buick opel isuzu deluxe,USA,14.8,80,30.0,1977-01-01
renault 5 gtl,Europe,18.6,58,36.0,1977-01-01
plymouth arrow gs,USA,15.5,96,25.5,1977-01-01
datsun f-10 hatchback,Japan,16.8,70,33.5,1977-01-01
chevrolet caprice classic,USA,12.5,145,17.5,1977-01-01
oldsmobile cutlass supreme,USA,19.0,110,17.0,1977-01-01
dodge monaco brougham,USA,13.7,145,15.5,1977-01-01
mercury cougar brougham,USA,14.9,130,15.0,1977-01-01
chevrolet concours,USA,16.4,110,17.5,1977-01-01
buick skylark,USA,16.9,105,20.5,1977-01-01
plymouth volare custom,USA,17.7,100,19.0,1977-01-01
ford granada,USA,19.0,98,18.5,1977-01-01
pontiac grand prix lj,USA,11.1,180,16.0,1977-01-01
chevrolet monte carlo landau,USA,11.4,170,15.5,1977-01-01
chrysler cordoba,USA,12.2,190,15.5,1977-01-01
ford thunderbird,USA,14.5,149,16.0,1977-01-01
volkswagen rabbit custom,Europe,14.5,78,29.0,1977-01-01
pontiac sunbird coupe,USA,16.0,88,24.5,1977-01-01
toyota corolla liftback,Japan,18.2,75,26.0,1977-01-01
ford mustang ii 2+2,USA,15.8,89,25.5,1977-01-01
chevrolet chevette,USA,17.0,63,30.5,1977-01-01
dodge colt m/m,USA,15.9,83,33.5,1977-01-01
subaru dl,Japan,16.4,67,30.0,1977-01-01
volkswagen dasher,Europe,14.1,78,30.5,1977-01-01
datsun 810,Japan,14.5,97,22.0,1977-01-01
bmw 320i,Europe,12.8,110,21.5,1977-01-01
mazda rx-4,Japan,13.5,110,21.5,1977-01-01
volkswagen rabbit custom diesel,Europe,21.5,48,43.1,1978-01-01
ford fiesta,USA,14.4,66,36.1,1978-01-01
mazda glc deluxe,Japan,19.4,52,32.8,1978-01-01
datsun b210 gx,Japan,18.6,70,39.4,1978-01-01
honda civic cvcc,Japan,16.4,60,36.1,1978-01-01
oldsmobile cutlass salon brougham,USA,15.5,110,19.9,1978-01-01
dodge diplomat,USA,13.2,140,19.4,1978-01-01
mercury monarch ghia,USA,12.8,139,20.2,1978-01-01
pontiac phoenix lj,USA,19.2,105,19.2,1978-01-01
chevrolet malibu,USA,18.2,95,20.5,1978-01-01
ford fairmont (auto),USA,15.8,85,20.2,1978-01-01
ford fairmont (man),USA,15.4,88,25.1,1978-01-01
plymouth volare,USA,17.2,100,20.5,1978-01-01
amc concord,USA,17.2,90,19.4,1978-01-01
buick century special,USA,15.8,105,20.6,1978-01-01
mercury zephyr,USA,16.7,85,20.8,1978-01-01
dodge aspen,USA,18.7,110,18.6,1978-01-01
amc concord d/l,USA,15.1,120,18.1,1978-01-01
chevrolet monte carlo landau,USA,13.2,145,19.2,1978-01-01
buick regal sport coupe (turbo),USA,13.4,165,17.7,1978-01-01
ford futura,USA,11.2,139,18.1,1978-01-01
dodge magnum xe,USA,13.7,140,17.5,1978-01-01
chevrolet chevette,USA,16.5,68,30.0,1978-01-01
toyota corona,Japan,14.2,95,27.5,1978-01-01
datsun 510,Japan,14.7,97,27.2,1978-01-01
dodge omni,USA,14.5,75,30.9,1978-01-01
toyota celica gt liftback,Japan,14.8,95,21.1,1978-01-01
plymouth sapporo,USA,16.7,105,23.2,1978-01-01
oldsmobile starfire sx,USA,17.6,85,23.8,1978-01-01
datsun 200-sx,Japan,14.9,97,23.9,1978-01-01
audi 5000,Europe,15.9,103,20.3,1978-01-01
volvo 264gl,Europe,13.6,125,17.0,1978-01-01
saab 99gle,Europe,15.7,115,21.6,1978-01-01
peugeot 604sl,Europe,15.8,133,16.2,1978-01-01
volkswagen scirocco,Europe,14.9,71,31.5,1978-01-01
honda Accelerationord lx,Japan,16.6,68,29.5,1978-01-01
pontiac lemans v6,USA,15.4,115,21.5,1979-01-01
mercury zephyr 6,USA,18.2,85,19.8,1979-01-01
ford fairmont 4,USA,17.3,88,22.3,1979-01-01
amc concord dl 6,USA,18.2,90,20.2,1979-01-01
dodge aspen 6,USA,16.6,110,20.6,1979-01-01
chevrolet caprice classic,USA,15.4,130,17.0,1979-01-01
ford ltd landau,USA,13.4,129,17.6,1979-01-01
mercury grand marquis,USA,13.2,138,16.5,1979-01-01
dodge st. regis,USA,15.2,135,18.2,1979-01-01
buick estate wagon (sw),USA,14.9,155,16.9,1979-01-01
ford country squire (sw),USA,14.3,142,15.5,1979-01-01
chevrolet malibu classic (sw),USA,15.0,125,19.2,1979-01-01
chrysler lebaron town @ country (sw),USA,13.0,150,18.5,1979-01-01
vw rabbit custom,Europe,14.0,71,31.9,1979-01-01
maxda glc deluxe,Japan,15.2,65,34.1,1979-01-01
dodge colt hatchback custom,USA,14.4,80,35.7,1979-01-01
amc spirit dl,USA,15.0,80,27.4,1979-01-01
mercedes benz 300d,Europe,20.1,77,25.4,1979-01-01
cadillac eldorado,USA,17.4,125,23.0,1979-01-01
peugeot 504,Europe,24.8,71,27.2,1979-01-01
oldsmobile cutlass salon brougham,USA,22.2,90,23.9,1979-01-01
plymouth horizon,USA,13.2,70,34.2,1979-01-01
plymouth horizon tc3,USA,14.9,70,34.5,1979-01-01
datsun 210,Japan,19.2,65,31.8,1979-01-01
fiat strada custom,Europe,14.7,69,37.3,1979-01-01
buick skylark limited,USA,16.0,90,28.4,1979-01-01
chevrolet citation,USA,11.3,115,28.8,1979-01-01
oldsmobile omega brougham,USA,12.9,115,26.8,1979-01-01
pontiac phoenix,USA,13.2,90,33.5,1979-01-01
vw rabbit,Europe,14.7,76,41.5,1980-01-01
toyota corolla tercel,Japan,18.8,60,38.1,1980-01-01
chevrolet chevette,USA,15.5,70,32.1,1980-01-01
datsun 310,Japan,16.4,65,37.2,1980-01-01
chevrolet citation,USA,16.5,90,28.0,1980-01-01
ford fairmont,USA,18.1,88,26.4,1980-01-01
amc concord,USA,20.1,90,24.3,1980-01-01
dodge aspen,USA,18.7,90,19.1,1980-01-01
audi 4000,Europe,15.8,78,34.3,1980-01-01
toyota corona liftback,Japan,15.5,90,29.8,1980-01-01
mazda 626,Japan,17.5,75,31.3,1980-01-01
datsun 510 hatchback,Japan,15.0,92,37.0,1980-01-01
toyota corolla,Japan,15.2,75,32.2,1980-01-01
mazda glc,Japan,17.9,65,46.6,1980-01-01
dodge colt,USA,14.4,105,27.9,1980-01-01
datsun 210,Japan,19.2,65,40.8,1980-01-01
vw rabbit c (diesel),Europe,21.7,48,44.3,1980-01-01
vw dasher (diesel),Europe,23.7,48,43.4,1980-01-01
audi 5000s (diesel),Europe,19.9,67,36.4,1980-01-01
mercedes-benz 240d,Europe,21.8,67,30.0,1980-01-01
honda civic 1500 gl,Japan,13.8,67,44.6,1980-01-01
renault lecar deluxe,Europe,17.3,"",40.9,1980-01-01
subaru dl,Japan,18.0,67,33.8,1980-01-01
vokswagen rabbit,Europe,15.3,62,29.8,1980-01-01
datsun 280-zx,Japan,11.4,132,32.7,1980-01-01
mazda rx-7 gs,Japan,12.5,100,23.7,1980-01-01
triumph tr7 coupe,Europe,15.1,88,35.0,1980-01-01
ford mustang cobra,USA,14.3,"",23.6,1980-01-01
honda Accelerationord,Japan,17.0,72,32.4,1980-01-01
plymouth reliant,USA,15.7,84,27.2,1982-01-01
buick skylark,USA,16.4,84,26.6,1982-01-01
dodge aries wagon (sw),USA,14.4,92,25.8,1982-01-01
chevrolet citation,USA,12.6,110,23.5,1982-01-01
plymouth reliant,USA,12.9,84,30.0,1982-01-01
toyota starlet,Japan,16.9,58,39.1,1982-01-01
plymouth champ,USA,16.4,64,39.0,1982-01-01
honda civic 1300,Japan,16.1,60,35.1,1982-01-01
subaru,Japan,17.8,67,32.3,1982-01-01
datsun 210,Japan,19.4,65,37.0,1982-01-01
toyota tercel,Japan,17.3,62,37.7,1982-01-01
mazda glc 4,Japan,16.0,68,34.1,1982-01-01
plymouth horizon 4,USA,14.9,63,34.7,1982-01-01
ford escort 4w,USA,16.2,65,34.4,1982-01-01
ford escort 2h,USA,20.7,65,29.9,1982-01-01
volkswagen jetta,Europe,14.2,74,33.0,1982-01-01
renault 18i,Europe,15.8,"",34.5,1982-01-01
honda prelude,Japan,14.4,75,33.7,1982-01-01
toyota corolla,Japan,16.8,75,32.4,1982-01-01
datsun 200sx,Japan,14.8,100,32.9,1982-01-01
mazda 626,Japan,18.3,74,31.6,1982-01-01
peugeot 505s turbo diesel,Europe,20.4,80,28.1,1982-01-01
saab 900s,Europe,15.4,110,"",1982-01-01
volvo diesel,Europe,19.6,76,30.7,1982-01-01
toyota cressida,Japan,12.6,116,25.4,1982-01-01
datsun 810 maxima,Japan,13.8,120,24.2,1982-01-01
buick century,USA,15.8,110,22.4,1982-01-01
oldsmobile cutlass ls,USA,19.0,105,26.6,1982-01-01
ford granada gl,USA,17.1,88,20.2,1982-01-01
chrysler lebaron salon,USA,16.6,85,17.6,1982-01-01
chevrolet cavalier,USA,19.6,88,28.0,1982-01-01
chevrolet cavalier wagon,USA,18.6,88,27.0,1982-01-01
chevrolet cavalier 2-door,USA,18.0,88,34.0,1982-01-01
pontiac j2000 se hatchback,USA,16.2,85,31.0,1982-01-01
dodge aries se,USA,16.0,84,29.0,1982-01-01
pontiac phoenix,USA,18.0,90,27.0,1982-01-01
ford fairmont futura,USA,16.4,92,24.0,1982-01-01
amc concord dl,USA,20.5,"",23.0,1982-01-01
volkswagen rabbit l,Europe,15.3,74,36.0,1982-01-01
mazda glc custom l,Japan,18.2,68,37.0,1982-01-01
mazda glc custom,Japan,17.6,68,31.0,1982-01-01
plymouth horizon miser,USA,14.7,63,38.0,1982-01-01
mercury lynx l,USA,17.3,70,36.0,1982-01-01
nissan stanza xe,Japan,14.5,88,36.0,1982-01-01
honda Accelerationord,Japan,14.5,75,36.0,1982-01-01
toyota corolla,Japan,16.9,70,34.0,1982-01-01
honda civic,Japan,15.0,67,38.0,1982-01-01
honda civic (auto),Japan,15.7,67,32.0,1982-01-01
datsun 310 gx,Japan,16.2,67,38.0,1982-01-01
buick century limited,USA,16.4,110,25.0,1982-01-01
oldsmobile cutlass ciera (diesel),USA,17.0,85,38.0,1982-01-01
chrysler lebaron medallion,USA,14.5,92,26.0,1982-01-01
ford granada l,USA,14.7,112,22.0,1982-01-01
toyota celica gt,Japan,13.9,96,32.0,1982-01-01
dodge charger 2.2,USA,13.0,84,36.0,1982-01-01
chevrolet camaro,USA,17.3,90,27.0,1982-01-01
ford mustang gl,USA,15.6,86,27.0,1982-01-01
vw pickup,Europe,24.6,52,44.0,1982-01-01
dodge rampage,USA,11.6,84,32.0,1982-01-01
ford ranger,USA,18.6,79,28.0,1982-01-01
chevy s-10,USA,19.4,82,31.0,1982-01-01
