date_1,date_2,date_3,date_time
2021-08-23,2022-10-18,2022-09,2021-12-06 03:28:55
2019-04-17,2022-01-02,2022-05,2022-07-08 11:30:48
2019-12-31,2022-07-21,2022-07,2022-02-20 07:36:38
2019-06-22,2021-12-31,2022-04,2022-09-10 07:52:37
2020-12-09,2022-08-04,2021-11,2022-05-25 07:22:42
2019-01-01,2022-09-22,2022-08,2022-10-01 10:27:33
2021-01-23,2022-05-06,2021-11,2022-10-18 23:03:40
2019-03-01,2021-11-01,2022-05,2022-04-30 06:26:08
2019-11-10,2022-06-02,2021-11,2022-02-22 08:42:55
2021-05-30,2022-09-27,2022-07,2022-02-18 01:07:10
2019-02-05,2021-12-13,2022-05,2022-02-11 14:37:41
2019-10-31,2022-03-27,2022-04,2022-03-16 04:04:16
2020-10-27,2021-11-23,2021-10,2022-10-07 23:53:09
2019-04-08,2022-01-26,2022-08,2021-12-17 16:17:51
2020-03-13,2022-05-17,2022-02,2022-05-15 09:19:37
2019-02-12,2021-11-24,2022-04,2022-02-24 12:30:00
2019-10-27,2022-01-15,2022-02,2022-04-03 11:45:16
2020-08-26,2021-11-28,2022-06,2022-07-02 00:24:56
2021-09-10,2022-09-04,2021-12,2022-08-06 15:07:01
2020-12-13,2022-10-10,2022-01,2022-06-23 04:18:48
2019-08-14,2022-01-19,2022-02,2022-08-09 12:32:19
2020-08-27,2022-09-09,2022-10,2022-08-25 11:16:49
2019-03-14,2022-10-16,2022-08,2021-12-26 14:11:14
2020-07-22,2022-02-11,2022-05,2022-04-23 15:20:02
2019-06-10,2022-03-18,2021-11,2022-08-03 17:01:19
2021-07-20,2022-09-13,2022-08,2022-08-05 12:26:13
2020-12-16,2022-09-15,2022-05,2022-05-05 11:16:25
2021-02-13,2021-11-08,2022-03,2022-07-18 09:36:44
2021-09-18,2022-10-21,2022-02,2022-04-30 22:33:47
2018-12-06,2022-06-22,2022-04,2022-02-03 02:51:54
2021-03-01,2022-08-27,2022-08,2021-12-23 10:46:06
2021-09-14,2022-06-25,2022-02,2022-07-29 17:45:30
2020-12-14,2022-09-23,2022-08,2022-03-04 14:57:24
2020-07-13,2021-11-16,2022-02,2022-02-11 06:49:26
2021-06-29,2021-12-04,2021-11,2022-04-17 13:25:46
2021-08-30,2022-02-05,2021-12,2022-05-17 05:55:12
2021-07-04,2021-11-20,2021-11,2022-06-03 13:23:30
2021-03-16,2022-06-05,2022-05,2022-08-11 02:41:42
2021-01-15,2022-05-27,2022-05,2022-03-27 16:41:31
2020-12-27,2021-11-12,2022-05,2021-12-10 10:23:07
2019-02-01,2022-08-17,2022-04,2021-12-18 02:03:06
2020-01-29,2022-01-04,2022-04,2022-05-17 03:00:24
2018-11-18,2022-10-24,2022-09,2022-01-08 19:22:27
2019-06-22,2021-11-06,2022-05,2022-08-29 04:58:26
2018-11-30,2022-05-28,2022-10,2022-02-27 18:47:04
2019-01-16,2021-12-28,2022-01,2022-05-15 08:48:11
2020-08-05,2022-05-13,2022-06,2022-03-17 11:56:09
2021-06-09,2022-07-18,2022-09,2021-12-12 21:40:13
2021-04-30,2022-07-03,2022-05,2022-10-10 19:48:30
2021-02-18,2022-08-01,2022-10,2022-05-18 03:31:33
2020-07-29,2021-12-10,2022-07,2021-10-28 11:42:16
2021-08-29,2022-07-28,2022-02,2022-01-03 14:46:30
2019-12-05,2022-05-10,2022-07,2022-10-02 16:10:15
2020-01-25,2022-03-10,2022-01,2022-04-04 17:31:07
2019-08-09,2022-07-01,2022-05,2022-09-09 11:13:12
2019-01-20,2022-08-06,2021-11,2022-10-14 11:10:55
2019-01-01,2022-02-16,2021-11,2022-03-23 16:50:34
2019-08-15,2021-11-05,2022-10,2022-01-31 12:23:54
2021-05-27,2021-11-25,2022-02,2021-10-30 04:20:15
2020-06-13,2022-08-03,2022-05,2022-01-27 21:10:03
2018-11-04,2022-05-26,2021-12,2022-01-30 05:10:43
2021-08-16,2022-07-09,2022-07,2021-12-24 14:24:22
2020-11-06,2022-08-15,2022-05,2022-08-20 07:11:14
2020-10-26,2022-09-15,2022-07,2022-01-31 12:04:48
2020-11-26,2022-02-18,2022-03,2022-10-10 07:23:10
2019-03-17,2022-08-18,2022-03,2022-02-07 08:31:38
2019-08-06,2022-01-12,2022-01,2022-09-16 09:18:37
2021-05-07,2022-05-10,2021-12,2022-06-16 03:57:21
2020-10-19,2022-03-28,2022-07,2021-11-13 10:54:45
2020-10-31,2021-12-20,2022-02,2022-01-02 20:38:43
2020-02-21,2022-10-02,2022-08,2022-01-07 02:46:18
2020-05-23,2022-09-18,2022-03,2022-07-25 06:25:27
2019-02-01,2022-03-20,2022-04,2022-03-07 05:08:56
2019-03-22,2022-03-03,2022-07,2021-12-11 05:44:22
2020-03-02,2022-10-24,2022-08,2022-07-30 14:21:41
2020-09-17,2021-12-08,2022-01,2022-10-18 05:46:07
2019-11-18,2022-08-10,2022-01,2021-11-12 02:52:13
2021-03-24,2022-02-12,2021-11,2021-11-26 13:20:32
2018-11-03,2022-10-13,2022-04,2022-06-11 02:02:30
2019-07-25,2022-08-30,2022-06,2022-05-09 00:59:40
2019-03-17,2021-10-29,2022-09,2022-05-24 23:43:12
2020-10-31,2021-12-21,2022-10,2022-04-15 10:29:12
2021-09-03,2022-07-09,2022-08,2021-12-01 20:16:42
2018-12-07,2022-08-10,2022-09,2022-06-07 14:49:59
2019-01-13,2022-06-12,2022-03,2022-10-02 02:58:23
2021-05-08,2022-06-23,2022-01,2022-01-04 10:55:52
2020-05-27,2022-01-08,2021-12,2022-01-27 13:49:55
2021-08-27,2022-03-31,2022-07,2022-07-08 00:34:25
2019-10-27,2022-04-15,2022-10,2022-07-07 08:56:23
2019-10-07,2022-02-21,2022-08,2022-07-23 03:34:42
2019-05-28,2022-03-24,2022-09,2021-11-25 05:37:45
2021-09-07,2022-07-05,2022-04,2021-12-10 10:24:18
2019-06-02,2022-08-26,2021-11,2021-12-22 04:56:59
2020-06-05,2022-07-05,2021-11,2022-06-29 04:12:42
2021-02-10,2022-10-27,2022-07,2022-04-22 05:05:42
2020-06-15,2022-04-14,2022-08,2022-08-02 10:28:09
2019-05-19,2022-01-08,2022-10,2022-09-13 18:32:50
2021-03-26,2022-05-08,2021-12,2022-06-30 08:22:04
2020-05-02,2021-12-28,2022-10,2021-12-17 01:14:12
2019-01-27,2022-08-11,2022-10,2021-12-12 19:03:02
2020-08-28,2022-05-06,2022-09,2022-05-30 00:38:21
2019-04-09,2022-05-14,2022-08,2022-09-01 23:49:05
2020-05-16,2022-09-25,2022-06,2022-10-16 22:27:51
2019-08-18,2022-09-05,2022-10,2021-12-09 17:25:45
2020-01-06,2022-06-08,2022-07,2022-10-24 12:08:51
2021-08-28,2022-07-30,2021-12,2022-05-13 23:54:47
2019-10-15,2022-09-28,2022-03,2022-01-22 17:03:45
2021-01-29,2022-08-26,2021-12,2021-11-03 05:56:51
2021-09-22,2021-11-15,2022-07,2021-11-28 15:05:22
2019-12-17,2022-09-08,2021-12,2022-10-09 12:57:18
2019-02-17,2022-01-16,2022-07,2022-10-26 13:20:33
2021-09-19,2022-08-08,2022-04,2022-07-04 17:19:28
2021-10-24,2022-05-27,2022-06,2022-05-07 12:54:14
2019-10-01,2022-07-01,2022-03,2022-04-09 21:33:22
2019-03-29,2022-10-09,2021-11,2022-05-12 12:20:41
2018-11-25,2022-01-21,2022-03,2022-05-06 23:32:42
2019-09-20,2022-02-27,2021-12,2022-04-22 02:44:46
2021-02-21,2022-07-06,2022-04,2022-03-09 22:15:41
2020-11-24,2022-03-13,2022-05,2022-09-19 21:55:51
2020-04-25,2022-09-14,2022-07,2021-12-01 08:32:45
2020-04-14,2022-03-13,2022-08,2022-02-22 18:39:58
2020-01-25,2022-01-10,2021-10,2022-04-26 13:14:14
2020-07-22,2022-04-03,2022-06,2021-11-21 10:35:02
2019-04-24,2022-04-27,2022-09,2022-10-05 10:09:35
2021-06-28,2022-09-15,2022-03,2022-04-21 03:44:20
2021-06-08,2022-07-23,2022-01,2022-08-26 21:40:05
2020-05-06,2022-07-11,2022-04,2021-12-25 10:42:24
2018-11-02,2022-09-05,2022-09,2021-11-12 20:26:32
2020-10-20,2022-01-13,2022-01,2021-11-30 09:38:37
2021-03-24,2022-08-24,2021-12,2022-01-17 07:58:48
2020-10-06,2022-07-14,2022-09,2022-01-07 06:57:06
2021-01-25,2022-06-08,2021-12,2022-06-09 14:09:15
2021-04-10,2022-01-06,2022-02,2021-12-09 11:49:02
2020-05-24,2022-08-30,2022-07,2022-05-02 15:24:11
2021-06-06,2022-09-09,2021-11,2022-08-24 18:30:42
2020-05-07,2022-04-10,2022-06,2022-03-11 10:08:09
2021-05-12,2022-10-17,2022-01,2021-12-31 21:29:27
2019-09-02,2022-05-08,2022-07,2022-04-15 15:49:45
2020-11-16,2022-04-29,2022-07,2022-07-29 10:43:23
2020-12-29,2022-01-23,2022-09,2021-12-12 12:53:10
2021-05-09,2022-08-08,2022-09,2022-02-08 15:57:17
2020-03-06,2022-10-01,2022-07,2022-07-26 12:43:31
2021-06-03,2021-11-08,2022-10,2022-07-08 00:42:57
2020-05-24,2022-07-13,2021-11,2022-08-16 14:41:33
2020-06-26,2022-10-24,2021-11,2022-10-10 16:49:40
2018-12-14,2022-07-02,2022-05,2022-04-27 23:24:17
2021-05-17,2022-05-29,2022-07,2022-05-03 02:03:21
2019-06-15,2022-06-13,2022-08,2022-05-10 02:28:46
2021-03-31,2022-07-10,2022-03,2022-06-23 15:24:03
2021-01-12,2022-10-15,2022-05,2022-06-07 04:39:57
2019-09-07,2022-04-16,2022-02,2022-01-14 18:15:12
2021-02-02,2021-12-07,2022-10,2022-04-02 07:36:13
2018-12-25,2021-11-27,2022-01,2021-12-25 10:36:37
2020-03-19,2022-06-04,2022-05,2022-08-09 19:16:31
2021-06-25,2022-06-19,2022-05,2022-09-26 10:16:34
2019-11-03,2021-10-30,2022-05,2021-11-08 11:35:30
2020-10-10,2021-10-29,2022-03,2022-08-19 05:00:31
2021-09-12,2021-12-24,2021-12,2022-03-04 07:45:07
2020-07-19,2021-12-15,2022-04,2022-05-05 05:09:17
2021-08-04,2021-12-27,2021-12,2022-10-03 21:02:07
2021-07-04,2021-12-02,2022-05,2022-01-13 13:47:31
2021-08-08,2022-01-13,2021-10,2022-08-14 08:24:39
2021-07-17,2022-07-30,2022-04,2022-07-12 12:45:33
2020-01-19,2022-04-20,2022-01,2022-04-17 21:59:30
2020-07-25,2022-05-30,2022-03,2022-05-13 03:03:54
2019-07-19,2022-03-26,2021-12,2022-08-26 20:34:30
2020-07-29,2022-08-22,2021-12,2022-08-28 01:57:28
2021-01-26,2022-10-20,2022-07,2022-04-28 13:59:02
2019-11-23,2022-08-30,2021-12,2022-03-08 12:55:39
2020-01-17,2022-10-09,2022-06,2022-08-30 22:15:35
2019-11-22,2022-03-16,2022-01,2022-01-16 03:14:33
2021-08-17,2022-06-13,2021-11,2022-08-15 03:29:54
2020-02-02,2022-05-30,2022-01,2022-01-01 01:48:23
2019-05-12,2022-09-17,2021-12,2022-01-11 09:24:21
2020-07-01,2022-03-09,2022-05,2022-03-18 18:49:22
2020-01-28,2022-05-20,2022-01,2022-06-04 19:08:58
2019-12-20,2022-05-19,2021-11,2022-07-22 05:12:00
2019-03-13,2022-05-20,2022-01,2022-03-24 06:20:23
2019-07-10,2022-09-14,2022-08,2022-09-19 13:34:16
2021-02-15,2022-04-18,2022-05,2021-12-10 07:59:45
2020-11-07,2022-05-25,2022-01,2022-09-05 12:27:50
2019-02-11,2022-08-30,2022-08,2022-02-24 18:12:10
2021-01-20,2022-08-28,2022-07,2022-06-11 22:58:05
2019-10-23,2022-02-02,2021-12,2022-09-18 06:07:16
2020-05-15,2022-05-24,2022-01,2021-12-25 15:24:07
2020-01-29,2022-02-17,2022-02,2022-04-04 08:58:07
2019-10-03,2022-06-18,2022-01,2022-07-02 20:25:35
2021-07-22,2022-10-24,2022-09,2022-02-28 21:40:48
2021-05-26,2021-12-20,2022-03,2022-09-25 15:10:18
2020-06-30,2022-08-28,2022-04,2022-08-25 20:50:37
2021-08-31,2022-03-29,2022-10,2022-06-21 11:51:52
2020-07-09,2022-02-11,2022-06,2021-11-01 07:33:03
2021-06-07,2022-08-08,2022-02,2022-06-27 15:12:32
2019-02-09,2022-06-03,2022-03,2022-07-17 00:41:10
2019-12-03,2022-10-19,2022-05,2022-06-08 05:10:41
2020-02-01,2022-07-13,2022-07,2021-12-31 22:12:22
2018-12-07,2022-04-06,2022-08,2022-10-10 06:41:40
2019-10-07,2021-11-30,2022-06,2022-09-27 16:30:52
2020-10-30,2022-04-09,2022-08,2022-09-28 03:26:02
2021-07-30,2022-01-08,2022-01,2022-03-03 19:21:33
2020-09-14,2022-02-13,2022-09,2022-01-11 16:06:18
2018-11-14,2021-12-14,2022-04,2022-02-05 19:44:31
