title,genre,gross,release_year
Back to the Future,Adventure,210609762,1951
Back to the Future Part II,Adventure,118450002,1990
Back to the Future Part III,Adventure,87666629,1958
Butch Cassidy and the Sundance Kid,Western,102308900,1940
Bad Boys,Action,65647413,1921
Body Double,Thriller/Suspense,8801940,1967
The Beastmaster,Action,10751126,1929
Ben-Hur,Adventure,9000000,1948
Ben-Hur,Adventure,73000000,1940
Benji,Adventure,31559560,1928
Before Sunrise,Drama,5274005,1950
Beauty and the Beast,Musical,171340294,1931
The Best Years of Our Lives,Drama,23600000,1930
The Ballad of Gregorio Cortez,Western,909000,1967
My Big Fat Independent Movie,Comedy,4655,1961
Bogus,Comedy,4357406,1931
Beverly Hills Cop,Action,234760478,1923
Beverly Hills Cop II,Action,153665036,1935
Beverly Hills Cop III,Action,42586861,1942
Big,Comedy,114968774,1921
The Big Parade,Drama,11000000,1955
Boyz n the Hood,Drama,56190094,1980
"The Book of Mormon Movie, Volume 1: The Journey",Drama,1660865,1962
"Bright Lights, Big City",Drama,16118077,1980
The Blue Butterfly,Drama,1610194,1944
Blade Runner,Thriller/Suspense,32656328,1910
Bloodsport,Action,11806119,1926
The Blues Brothers,Musical,57229890,1927
Blow Out,Thriller/Suspense,13747234,1983
De battre mon coeur s'est arrÍtÈ,Drama,1023424,1967
The Broadway Melody,Musical,2800000,1947
Bound,Thriller/Suspense,3802260,1991
Bang,Thriller/Suspense,527,1993
Bananas,Comedy,"",1981
Bill & Ted's Bogus Journey,Comedy,37537675,1950
The Birth of a Nation,Drama,10000000,1950
The Ballad of Cable Hogue,Western,3500000,1935
The Blood of Heroes,Action,882290,1930
The Blood of My Brother: A Story of Death in Iraq,Documentary,0,1974
Boomerang,Comedy,70052444,1925
The Bridge on the River Kwai,Drama,33300000,1978
Born on the Fourth of July,Drama,70001698,1961
Basquiat,Drama,2962051,1941
Black Rain,Thriller/Suspense,45892212,1930
Bottle Rocket,Adventure,407488,1990
Braindead,Horror,242623,1912
The Bridges of Madison County,Drama,71516617,1983
The Brothers McMullen,Drama,10426506,1957
Dracula,Horror,82522790,1942
Broken Arrow,Action,70645997,1943
Brainstorm,Thriller/Suspense,8921050,1919
Braveheart,Drama,75545647,1943
Les BronzÈs 3: amis pour la vie,Comedy,0,1957
Brazil,Black Comedy,9929135,1970
Blazing Saddles,Comedy,119500000,1931
The Basket,Drama,609042,1969
Bathing Beauty,Musical,3500000,1950
Bill & Ted's Excellent Adventure,Comedy,39916091,1962
A Bridge Too Far,Action,50800000,1977
Beetle Juice,Comedy,73326666,1928
Batman Returns,Action,162831698,1962
Batman Forever,Action,184031112,1962
Batman,Action,251188924,1948
Buffy the Vampire Slayer,Horror,14231669,1967
Bienvenue chez les Ch'tis,Comedy,1470856,1973
Beyond the Valley of the Dolls,Comedy,9000000,1915
Broken Vessels,Drama,15030,1986
The Boys from Brazil,Thriller/Suspense,19000000,1916
The Business of Fancy Dancing,Drama,174682,1939
Caddyshack,Comedy,39846344,1939
Cape Fear,Thriller/Suspense,79091969,1945
Clear and Present Danger,Action,122012656,1931
Carrie,Horror,25878153,1912
Casino Royale,Comedy,22744718,1967
Camping Sauvage,Comedy,3479302,1994
The Cotton Club,Drama,25928721,1914
Close Encounters of the Third Kind,Adventure,166000000,1954
The Cable Guy,Comedy,60240295,1985
Chocolate: Deep Dark Secrets,Thriller/Suspense,49000,1940
Child's Play,Horror,33244684,1949
Child's Play 2,Horror,26904572,1912
Chain Reaction,Action,21226204,1993
Charly,Drama,814666,1963
Chariots of Fire,Drama,57159946,1948
A Christmas Story,Comedy,19294144,1981
Cat on a Hot Tin Roof,Drama,17570324,1920
C.H.U.D.,Horror,4700000,1929
"Charge of the Light Brigade, The",Action,0,1922
Crooklyn,Comedy,13024170,1950
Festen,Comedy,1647780,1923
Cleopatra,Drama,48000000,1934
Cliffhanger,Action,84049211,1980
The Californians,Drama,4134,1961
The Client,Drama,92115211,1935
The Calling,Drama,32092,1955
Clueless,Comedy,56598476,1946
The Color Purple,Drama,93589701,1996
Clerks,Comedy,3073428,1963
Central do Brasil,Drama,5969553,1910
Clash of the Titans,Adventure,30000000,1943
Commando,Action,35073978,1925
The Color of Money,Drama,52293000,1990
Cinderella,Drama,85000000,1955
Congo,Adventure,81022333,1919
Conan the Barbarian,Action,38264085,1976
Conan the Destroyer,Action,26400000,1946
Class of 1984,Drama,6965361,1950
The Clan of the Cave Bear,Adventure,1953732,1937
The Case of the Grinning Cat,Documentary,7033,1918
Bacheha-Ye aseman,Comedy,925402,1931
Cool Runnings,Comedy,68856263,1939
Crocodile Dundee,Comedy,174803506,1927
Dayereh,Drama,673780,1989
Karakter,Drama,713413,1932
Creepshow,Horror,20036244,1973
Creepshow 2,Horror,14000000,1930
The Crying Game,Drama,62546695,1932
Crimson Tide,Action,91387195,1964
Caravans,Adventure,1000000,1921
Fengkuang de Shitou,Black Comedy,0,1957
Casablanca,Drama,10462500,1949
Casino,Drama,42438300,1963
Casper,Comedy,100328194,1946
Can't Stop the Music,Musical,2000000,1969
Catch-22,Comedy,24911670,1940
City Hall,Drama,20278055,1967
Cutthroat Island,Adventure,10017322,1993
La femme de chambre du Titanic,Drama,244465,1914
Cat People,Drama,4000000,1963
Courage Under Fire,Drama,59003384,1952
C'era una volta il West,Western,5321508,1914
The Conversation,Thriller/Suspense,4420000,1998
Cavite,Thriller/Suspense,70071,1958
Copycat,Thriller/Suspense,32051917,1932
Dark Angel,Action,4372561,1942
"Boot, Das",Drama,11487676,1943
Desperado,Action,25532388,1920
Dumb & Dumber,Comedy,127175374,1925
Diamonds Are Forever,Action,43800000,1964
The Dark Half,Horror,9579068,1964
The Dark Hours,Horror,423,1970
Dante's Peak,Drama,67163857,1975
Daylight,Action,32908290,1962
Dick Tracy,Action,103738726,1910
Dawn of the Dead,Horror,5100000,1919
The Addams Family,Comedy,113502246,1913
Death Becomes Her,Comedy,58422650,1992
Def-Con 4,Action,210904,1964
Dead Poets' Society,Drama,95860116,1965
The Dead Zone,Horror,20766000,1950
Die Hard 2,Action,117323878,1929
Die Hard: With a Vengeance,Action,100012499,1918
Dragonheart,Adventure,51364680,1915
Die Hard,Action,81350242,1949
Diner,Comedy,12592907,1919
Dil Jo Bhi Kahey...,Drama,129319,1961
Don Juan DeMarco,Drama,22032635,1915
Tales from the Crypt: Demon Knight,Horror,21089146,1918
Dead Man Walking,Drama,39387284,1900
Dances with Wolves,Western,184208842,1960
Dangerous Liaisons,Drama,34700000,1960
Double Impact,Action,29090445,1911
The Doors,Drama,34167219,1994
Day of the Dead,Horror,5804262,1928
Days of Thunder,Action,82670733,1983
Dolphin,Documentary,14000,1919
The Dress,Drama,16556,1993
The Deer Hunter,Drama,50000000,1919
Dragonslayer,Action,6000000,1921
Driving Miss Daisy,Drama,106593296,1952
Do the Right Thing,Comedy,26004026,1980
Dune,Action,27447471,1940
Dolphins and Whales Tribes of the Ocean 3D,Documentary,7714996,1964
Dream With The Fishes,Drama,542909,1949
Doctor Zhivago,Drama,111721000,1924
The Evil Dead,Horror,2400000,1958
Evil Dead II,Horror,5923044,1921
Army of Darkness,Horror,11502976,1975
Edward Scissorhands,Comedy,53976987,1951
Ed Wood,Comedy,5828466,1967
Everyone Says I Love You,Musical,9725847,1949
Emma,Romantic Comedy,22231658,1998
Star Wars Ep. V: The Empire Strikes Back,Adventure,290271960,1924
Escape from New York,Action,25244700,1915
Escape from L.A.,Action,25426861,1996
Eraser,Action,101295562,1948
Everything You Always Wanted to Know,Comedy,18016290,1969
ET: The Extra-Terrestrial,Drama,435110554,1993
Exorcist II: The Heretic,Horror,25011000,1980
Exotica,Drama,5046118,1971
Force 10 from Navarone,Action,7100000,1920
Fatal Attraction,Thriller/Suspense,156645693,1932
Fabled,Horror,31425,1959
Fetching Cody,Comedy,0,1922
From Dusk Till Dawn,Horror,25728961,1990
Friday the 13th,Horror,39754601,1980
Friday the 13th Part 3,Horror,36690067,1949
Friday the 13th Part IV: The Final Chapter,Horror,32980880,1998
Friday the 13th Part V: A New Beginning,Horror,21930418,1965
Friday the 13th Part VI: Jason Lives,Horror,19472057,1980
Friday the 13th Part VII: The New Blood,Horror,19170001,1900
Friday the 13th Part VIII: Jason Takes Manhattan,Horror,14343976,1959
Jason Goes to Hell: The Final Friday,Horror,15935068,1929
Per qualche dollaro in pi˘,Western,4300000,1920
Per un pugno di dollari,Western,3500000,1973
Friday the 13th Part 2,Horror,21722776,1930
Faithful,Black Comedy,2104439,1936
Fair Game,Action,11497497,1990
A Few Good Men,Drama,141340178,1956
The Fugitive,Thriller/Suspense,183875760,1990
First Morning,Drama,87264,1916
F.I.S.T,Drama,20388920,1951
Flashdance,Drama,90463574,1975
Fled,Action,17192205,1973
Flash Gordon,Action,27107960,1937
The Flintstones,Comedy,130531208,1925
Flight of the Intruder,Action,14471440,1910
Flatliners,Thriller/Suspense,61308153,1930
Funny Ha Ha,Comedy,77070,1991
The Funeral,Drama,1212799,1949
Fantasia,Musical,83320000,1986
Fantasia 2000 (IMAX),Musical,60507228,1921
The Fog,Horror,21378361,1936
Forrest Gump,Drama,329694499,1931
Fortress,Action,6730578,1992
Fiddler on the Roof,Musical,80500000,1953
The Front Page,Comedy,15000000,1978
First Blood,Action,47212904,1968
Friday,Comedy,27467564,1964
Freeze Frame,Thriller/Suspense,0,1921
Firefox,Action,45785720,1940
Fargo,Thriller/Suspense,24567751,1987
First Knight,Drama,37361412,1940
From Russia With Love,Action,24800000,1949
The Firm,Thriller/Suspense,158340892,1914
Footloose,Musical,80000000,1973
Fast Times at Ridgemont High,Comedy,27092880,1916
Fighting Tommy Riley,Drama,10514,1934
The First Wives Club,Comedy,105489203,1935
Flirting with Disaster,Comedy,14853474,1926
For Your Eyes Only,Action,54800000,1937
Fiza,Drama,623791,1972
Grip: A Criminal's Story,Action,1336,1929
The Ghost and the Darkness,Action,38564422,1926
Gabriela,Drama,2335352,1967
"Il buono, il brutto, il cattivo",Western,6100000,1959
Graduation Day,Thriller/Suspense,23894000,1944
The Godfather: Part III,Drama,66520529,1965
Goodfellas,Drama,46743809,1992
God's Army,Drama,2637726,1970
Gory Gory Hallelujah,Musical,12604,1924
Ghost,Drama,217631306,1951
Ghostbusters,Comedy,238632124,1925
Girl 6,Comedy,4880941,1933
Goldeneye,Action,106429941,1980
The Glimmer Man,Action,20404841,1943
Glory,Action,26593580,1921
The Gambler,Drama,51773,1942
Good Morning Vietnam,Comedy,123922370,1969
Gandhi,Drama,52767889,1917
A Guy Named Joe,Drama,5363000,1982
Goodbye Bafana,Drama,0,1929
Get on the Bus,Drama,5691854,1925
The Golden Child,Action,79817937,1930
Good Dick,Drama,28835,1929
Goldfinger,Action,51100000,1978
Groundhog Day,Comedy,70906973,1939
Gremlins,Comedy,148168459,1934
Get Real,Comedy,1152411,1938
Gremlins 2: The New Batch,Comedy,41476097,1976
The Greatest Story Ever Told,Drama,15473333,1920
The Gospel of John,Drama,4068087,1916
The First Great Train Robbery,Action,391942,1982
Get Shorty,Comedy,72021008,1976
Gettysburg,Drama,10731997,1976
Guiana 1838,Drama,227241,1970
Gone with the Wind,Drama,198680470,1963
Happiness,Comedy,2746453,1912
Harley Davidson and the Marlboro Man,Action,7018525,1976
Heavy Metal,Adventure,19571091,1990
Heartbeeps,Comedy,6000000,1932
The Helix...Loaded,Comedy,3700,1923
Hang 'em High,Western,6800000,1926
Hellraiser,Horror,14564000,1915
Hero,Comedy,19487173,1983
Highlander III: The Sorcerer,Action,13738574,1946
Highlander,Action,5900000,1933
History of the World: Part I,Comedy,31672000,1940
Halloween II,Horror,25533818,1992
Halloween 3: Season of the Witch,Horror,14400000,1934
Halloween 4: The Return of Michael Myers,Horror,17768757,1931
Halloween 5: The Revenge of Michael Myers,Horror,11642254,1932
Halloween:The Curse of Michael Myers,Horror,15126948,1961
Halloween,Horror,47000000,1930
Home Alone 2: Lost in New York,Comedy,173585516,1931
Home Alone,Comedy,285761243,1925
Hum to Mohabbt Karega,Drama,121807,1924
The Hotel New Hampshire,Drama,5142858,1990
Henry V,Action,10161099,1993
Hook,Adventure,119654823,1965
House Party 2,Comedy,19438638,1957
Hocus Pocus,Comedy,39360491,1963
High Plains Drifter,Western,15700000,1960
Hoop Dreams,Documentary,7768371,1964
Happy Gilmore,Comedy,38623460,1991
The Hudsucker Proxy,Comedy,2816518,1934
A Hard Day's Night,Comedy,12299668,1953
Heroes,Adventure,655538,1967
The Hunt for Red October,Thriller/Suspense,120709866,1923
Harriet the Spy,Adventure,26570048,1973
Le hussard sur le toit,Drama,1320043,1911
Hudson Hawk,Action,17218916,1978
Hav Plenty,Comedy,2301777,1988
Howard the Duck,Action,16295774,1994
Hybrid,Documentary,162605,1950
The Ice Pirates,Comedy,13075390,1976
Independence Day,Adventure,306169255,1938
The Island of Dr. Moreau,Adventure,27682712,1967
Iraq for Sale: The War Profiteers,Documentary,0,1940
In Her Line of Fire,Action,884,1976
The Indian in the Cupboard,Adventure,35627222,1975
Illuminata,Drama,836641,1922
In the Company of Men,Drama,2883661,1979
The Inkwell,Comedy,8864699,1956
Invaders from Mars,Horror,4884663,1958
The Island,Adventure,15716828,1955
Jack,Drama,58617334,1990
Jade,Thriller/Suspense,9812870,1951
Jingle All the Way,Comedy,60592389,1996
Dr. No,Action,16067035,1973
The Jungle Book,Adventure,44342956,1934
Judge Dredd,Action,34687912,1987
The Jerky Boys,Comedy,7555256,1958
Jefferson in Paris,Drama,2461628,1948
JFK,Drama,70405498,1982
Journey from the Fall,Drama,635305,1928
Jekyll and Hyde... Together Again,Comedy,3707583,1911
Jumanji,Adventure,100458310,1923
The Juror,Thriller/Suspense,22730924,1951
Jurassic Park,Action,357067947,1965
Johnny Suede,Drama,55000,1931
Jaws,Horror,260000000,1954
Jaws 2,Horror,102922376,1954
Jaws 4: The Revenge,Horror,15728335,1983
Kabhi Alvida Naa Kehna,Drama,3275443,1932
Kickboxer,Action,14533681,1980
Kids,Drama,7412216,1946
Kingpin,Comedy,25023424,1938
Kindergarten Cop,Comedy,91457688,1913
Kiss of Death,Drama,14942422,1949
The Kings of Appletown,Action,0,1937
Akira,Action,19585,1911
Krush Groove,Drama,11052713,1983
Krrish,Action,1430721,1995
Kansas City,Drama,1353824,1940
The Last Emperor,Drama,43984000,1993
Last Action Hero,Action,50016394,1941
Live and Let Die,Action,35400000,1937
Lage Raho Munnabhai,Comedy,2217561,1958
The Land Before Time,Adventure,48092846,1983
The Longest Day,Action,39100000,1944
The Living Daylights,Action,51185000,1996
Aladdin,Comedy,217350219,1949
A Low Down Dirty Shame,Action,29317886,1934
Love and Death on Long Island,Drama,2542264,1985
Ladyhawke,Action,18400000,1986
Nikita,Thriller/Suspense,5017971,1976
Legal Eagles,Comedy,49851591,1946
Legend,Adventure,15502112,1957
Lifeforce,Horror,11603545,1957
Lady in White,Horror,1705139,1943
The Long Kiss Goodnight,Action,33447612,1940
Lake of Fire,Documentary,25317,1956
Lolita (1962),Drama,9250000,1952
El Mariachi,Action,2040920,1935
Last Man Standing,Action,18115927,1961
Aliens,Action,85160248,1959
Alien³,Action,54927174,1938
The Lion King,Adventure,328539505,1912
Love and Death,Comedy,20123742,1994
Love and Other Catastrophes,Comedy,212285,1923
Love Letters,Thriller/Suspense,5269990,1928
The Legend of the Lone Ranger,Western,13400000,1961
The Last of the Mohicans,Action,72455275,1945
The Long Riders,Action,15198912,1928
Legends of the Fall,Drama,66502573,1945
A League of Their Own,Comedy,107533925,1916
Loaded Weapon 1,Comedy,27979399,1926
Betty Fisher et autres histoires,Drama,206400,1940
Little Shop of Horrors,Musical,38747385,1914
Lone Star,Drama,12961389,1983
Latter Days,Drama,833118,1949
Lethal Weapon,Action,65192350,1974
Lethal Weapon 3,Action,144731527,1995
Little Voice,Musical,4595000,1945
The Last Temptation of Christ,Drama,8373585,1955
License to Kill,Action,34667015,1913
Cama adentro,Drama,200433,1972
Leaving Las Vegas,Drama,31983777,1933
The Lawnmower Man,Action,32100816,1966
Lone Wolf McQuade,Action,12232628,1940
Little Women,Drama,50003303,1942
Lawrence of Arabia,Adventure,37495385,1911
Menace II Society,Action,27731527,1960
Much Ado About Nothing,Drama,22549338,1919
Major Dundee,Western,14873,1937
Malcolm X,Drama,48169910,1952
Mary Poppins,Musical,102300000,1919
Mary Reilly,Drama,5707094,1983
Maximum Risk,Action,14102929,1910
The Mask,Comedy,119920129,1952
Mars Attacks!,Comedy,37771017,1982
Mo' Better Blues,Drama,16153000,1984
Moby Dick,Adventure,10400000,1924
Michael Jordan to the MAX,Documentary,18642318,1962
Michael Collins,Drama,11092559,1940
My Cousin Vinny,Comedy,52929168,1963
Medicine Man,Drama,44948240,1914
Madadayo,Drama,48856,1997
Modern Problems,Comedy,24474312,1960
Amadeus,Drama,51973029,1987
Modern Times,Comedy,163245,1970
The Mighty Ducks,Comedy,50752337,1984
Megaforce,Action,5675599,1955
The Mirror Has Two Faces,Romantic Comedy,41267469,1910
Midnight Run,Action,38413606,1926
Major League,Comedy,49793054,1923
Malevolence,Horror,126021,1973
Mad Max 2: The Road Warrior,Action,24600832,1946
Mad Max,Action,8750000,1929
Mad Max Beyond Thunderdome,Action,36230219,1919
The Man From Snowy River,Drama,20659423,1965
Men with Brooms,Comedy,4239767,1914
Mommie Dearest,Drama,19032000,1948
Memoirs of an Invisible Man,Comedy,14358033,1979
The Mongol King,Drama,900,1934
My Own Private Idaho,Black Comedy,6401336,1920
Moonraker,Action,70300000,1917
Money Train,Action,35324232,1989
The Life of Brian,Comedy,20008693,1952
Mallrats,Comedy,2108367,1910
American Desi,Romantic Comedy,902835,1928
Mrs. Winterbourne,Romantic Comedy,10039566,1970
Mrs. Doubtfire,Comedy,219195051,1953
Mr. Smith Goes To Washington,Drama,9000000,1947
Mortal Kombat,Action,70433227,1960
Frankenstein,Horror,22006296,1967
My Stepmother Is an Alien,Comedy,13854000,1991
Mission: Impossible,Action,180981886,1979
Multiplicity,Comedy,20133326,1978
Mutual Appreciation,Comedy,103509,1984
The Muppet Christmas Carol,Comedy,27281507,1952
The Man with the Golden Gun,Action,21000000,1979
My Fair Lady,Musical,72000000,1919
Mystic Pizza,Comedy,12793213,1974
Namastey London,Romantic Comedy,1207007,1948
Inchon,Drama,4408636,1934
Indiana Jones and the Temple of Doom,Adventure,179880271,1980
Indiana Jones and the Last Crusade,Adventure,197171806,1988
Neal n' Nikki,Drama,100358,1931
A Nightmare on Elm Street 4: The Dream Master,Horror,49369899,1960
"Next Stop, Wonderland",Romantic Comedy,3386698,1920
Nighthawks,Action,14600000,1980
The English Patient,Drama,78716374,1920
The Naked Gun 2Ω: The Smell of Fear,Comedy,86930411,1996
Naked Gun 33 1/3: The Final Insult,Comedy,51041856,1916
Night of the Living Dead,Horror,12000000,1934
A Nightmare on Elm Street,Horror,25504513,1942
A Nightmare On Elm Street Part 2: Freddy's Revenge,Horror,21163999,1966
A Nightmare On Elm Street 3: Dream Warriors,Horror,44793222,1941
A Nightmare On Elm Street: The Dream Child,Horror,22168359,1971
Freddy's Dead: The Final Nightmare,Horror,34872033,1962
Wes Craven's New Nightmare,Horror,18090181,1988
Night of the Living Dead,Horror,5835247,1969
Never Say Never Again,Action,55500000,1913
Nowhere to Run,Action,22189039,1926
Interview with the Vampire: The Vampire Chronicles,Horror,105264608,1925
The Nutty Professor,Comedy,128814019,1976
Die Unendliche Geschichte,Adventure,21300000,1940
Nixon,Drama,13668249,1948
"New York, New York",Musical,13800000,1995
New York Stories,Drama,10763469,1998
Obitaemyy ostrov,Action,0,1933
Octopussy,Action,67900000,1980
On Deadly Ground,Action,38590458,1960
The Offspring,Horror,1355728,1942
On Her Majesty's Secret Service,Action,22800000,1969
The Omen,Horror,48570885,1910
The Omega Code,Action,12610552,1910
Out of Africa,Drama,79096868,1931
Ordinary People,Drama,52302978,1926
The Other Side of Heaven,Drama,4720371,1940
On the Down Low,Drama,1987,1921
Othello,Drama,2844379,1976
On the Outs,Drama,49772,1972
Outbreak,Thriller/Suspense,67823573,1925
The Outsiders,Drama,25697647,1944
The Oxford Murders,Thriller/Suspense,3607,1931
Police Academy,Comedy,81198894,1912
Police Academy 7: Mission to Moscow,Comedy,126247,1917
Pale Rider,Western,41410568,1960
Patriot Games,Action,83287363,1981
The Pallbearer,Romantic Comedy,5656388,1985
Pocahontas,Adventure,141579773,1953
PCU,Comedy,4333569,1946
Poltergeist,Horror,74706019,1930
Poltergeist III,Horror,14114000,1990
Phantasm II,Horror,7000000,1940
Phenomenon,Drama,104636382,1977
Philadelphia,Drama,77324422,1996
The Phantom,Action,17220599,1977
Pi,Thriller/Suspense,3221152,1943
The Player,Black Comedy,21706101,1900
Apollo 13,Drama,172070496,1962
Platoon,Drama,137963328,1980
Panic,Drama,779137,1928
The Adventures of Pinocchio,Adventure,15382170,1991
Pandora's Box,Thriller/Suspense,881950,1936
Penitentiary,Drama,287000,1914
The Pursuit of D.B. Cooper,Adventure,2104164,1954
Poetic Justice,Drama,27450453,1984
Porky's,Comedy,109492484,1953
"Peace, Propaganda and the Promised Land",Documentary,4930,1940
Predator 2,Action,28317513,1943
Predator,Action,59735548,1927
The Princess Bride,Adventure,30857000,1954
Prison,Horror,354704,1985
LÈon,Thriller/Suspense,19284974,1924
The Prince of Tides,Drama,74787599,1944
Proud,Drama,0,1944
Pretty Woman,Romantic Comedy,178406268,1966
Partition,Drama,0,1925
Peggy Sue Got Married,Comedy,41382841,1952
Peter Pan,Adventure,87400000,1920
Pet Sematary,Horror,57469179,1957
Pulp Fiction,Drama,107928762,1920
Paint Your Wagon,Musical,31678778,1912
The Prisoner of Zenda,Comedy,7000000,1928
The Perez Family,Comedy,2794056,1989
Q,Horror,255000,1960
The Quick and the Dead,Western,18552460,1990
Quigley Down Under,Western,21413105,1918
La Guerre du feu,Adventure,20959585,1958
Rang De Basanti,Drama,2197694,1930
Ransom,Action,136492681,1920
Rebecca,Drama,6000000,1933
Robin Hood: Prince of Thieves,Adventure,165493908,1938
Rumble in the Bronx,Action,32281907,1974
Rob Roy,Drama,31390587,1970
Raging Bull,Drama,23380203,1961
Richard III,Drama,2684904,1953
Raising Cain,Thriller/Suspense,21171695,1980
RoboCop,Action,53424681,1956
RoboCop 3,Action,10696210,1967
Ri¢hie Ri¢h,Comedy,38087756,1971
Radio Days,Comedy,14792779,1954
Radio Flyer,Drama,4651977,1980
Raiders of the Lost Ark,Adventure,245034358,1918
Reds,Drama,50000000,1933
Le Violon rouge,Drama,10019109,1964
Red Sonja,Action,6905861,1959
Star Wars Ep. VI: Return of the Jedi,Adventure,309205079,1965
The Return,Drama,501752,1980
The Rise and Fall of Miss Thang,Drama,401,1910
Roger & Me,Documentary,6706368,1959
The Right Stuff,Action,21500000,1980
The Rocky Horror Picture Show,Musical,139876417,1960
Road House,Action,30050028,1957
Romeo Is Bleeding,Drama,3275585,1954
Rockaway,Drama,0,1980
Return of the Living Dead Part II,Horror,9205924,1939
The R.M.,Comedy,1111615,1941
Renaissance Man,Comedy,24172899,1924
Rambo: First Blood Part II,Action,150415432,1973
Rambo III,Action,53715611,1923
Romeo+Juliet,Drama,46338728,1921
Rain Man,Comedy,172825435,1996
The Rock,Action,134069511,1960
The Remains of the Day,Drama,22954968,1983
Airplane!,Comedy,83453539,1970
Repo Man,Comedy,2300000,1930
Restoration,Drama,4100000,1923
The Return of the Living Dead,Horror,14237880,1961
Rejsen til Saturn,Comedy,0,1971
Return to the Land of Wonders,Documentary,1338,1992
Return to Oz,Adventure,10618813,1950
The Running Man,Action,38122000,1927
Run Lola Run,Thriller/Suspense,7267324,1933
Revolution#9,Thriller/Suspense,9118,1942
The River Wild,Action,46815000,1974
Se7en,Thriller/Suspense,100125643,1969
Secrets & Lies,Drama,13417292,1978
Sgt. Bilko,Comedy,30356589,1995
Sabrina,Romantic Comedy,53458319,1959
Subway,Drama,390659,1936
School Daze,Drama,14545844,1990
Scarface,Drama,44942821,1915
Schindler's List,Drama,96067179,1955
Shadow Conspiracy,Thriller/Suspense,2154540,1963
Short Cut to Nirvana: Kumbh Mela,Documentary,381225,1945
Spartacus,Action,30000000,1930
Sunday,Drama,410919,1980
"Secret, The",Documentary,0,1935
Sticky Fingers of Time,Thriller/Suspense,18195,1910
Stargate - The Ark of Truth,Action,0,1950
She's Gotta Have It,Comedy,7137502,1965
Stargate,Action,71565669,1972
The Shadow,Action,31835600,1964
Shadowlands,Drama,25842377,1932
Sheena,Adventure,5778353,1993
Shine,Drama,35811509,1963
The Shining,Horror,44017374,1936
Haakon Haakonsen,Adventure,15024232,1922
Ishtar,Comedy,14375181,1988
Showgirls,Drama,20254932,1978
The Shawshank Redemption,Drama,28241469,1932
Silver Bullet,Horror,10803211,1986
Side Effects,Romantic Comedy,44701,1980
Set It Off,Drama,36049108,1959
The Silence of the Lambs,Thriller/Suspense,130726716,1963
Silver Medalist,Black Comedy,0,1950
Thinner,Horror,15171475,1963
Sling Blade,Drama,24475416,1997
The Scarlet Letter,Drama,10359006,1920
Silmido,Action,298347,1916
Sleeper,Comedy,18344729,1926
Sleepers,Drama,53300852,1915
Sur Le Seuil,Drama,2013052,1947
The Usual Suspects,Drama,23341568,1949
Silverado,Western,33200000,1980
Salvador,Drama,1500000,1940
Show Me,Thriller/Suspense,0,1955
Simon,Comedy,4055,1943
