date,date_time_1,date_time_2
2022-09-06,2022-10-02 21:57:08,06-12-2021 14:28:44
2022-07-17,2022-05-23 00:47:44,07-08-2022 10:55:27
2022-10-19,2022-07-16 09:08:21,02-07-2022 12:59:56
2022-08-07,2022-02-26 07:36:27,02-06-2022 23:16:22
2022-07-25,2022-03-03 14:36:07,16-08-2022 00:53:23
2022-05-10,2022-04-18 05:12:44,17-05-2022 08:17:03
2022-05-09,2022-03-08 11:49:23,06-07-2022 12:23:30
2022-08-24,2022-08-25 18:41:45,07-01-2022 22:05:30
2022-09-04,2022-03-02 13:26:04,10-10-2022 22:52:20
2022-01-28,2022-08-03 07:39:44,13-10-2022 02:02:04
2022-06-08,2022-01-04 22:08:34,02-02-2022 14:06:55
2022-02-28,2022-04-07 22:56:54,02-05-2022 16:47:24
2022-03-25,2022-03-24 04:37:27,17-11-2021 22:54:57
2022-09-11,2022-04-23 00:12:45,16-02-2022 10:04:05
2022-06-06,2022-08-31 10:36:12,22-02-2022 05:54:36
2022-02-08,2022-01-19 17:51:10,07-11-2022 08:54:19
2022-02-17,2022-03-24 16:56:24,18-05-2022 09:50:05
2022-03-20,2022-03-20 19:37:21,16-12-2021 15:04:35
2022-03-29,2021-12-28 05:15:10,30-03-2022 23:19:20
2022-10-25,2022-01-26 10:00:51,09-09-2022 22:14:25
2022-01-27,2022-07-03 14:53:54,25-04-2022 20:32:19
2021-11-20,2022-01-10 20:31:24,02-05-2022 00:15:04
2022-10-28,2022-10-19 17:38:54,06-01-2022 22:39:50
2022-10-08,2022-06-19 02:37:00,22-12-2021 01:33:45
2022-06-19,2022-10-17 02:59:50,25-10-2022 05:43:50
2022-06-14,2022-07-20 03:12:27,21-03-2022 14:01:46
2021-11-16,2022-10-13 12:11:08,18-04-2022 10:21:03
2021-11-23,2022-08-10 02:10:32,26-07-2022 14:28:19
2022-02-19,2022-08-13 23:33:31,21-10-2022 06:18:48
2021-12-02,2022-09-16 21:39:24,24-10-2022 07:33:58
2022-02-25,2022-07-28 23:39:45,16-04-2022 23:39:45
2022-03-29,2022-03-11 05:24:08,24-12-2021 21:58:08
2022-01-23,2021-12-12 06:13:11,17-10-2022 20:25:42
2022-08-09,2022-10-15 01:39:48,31-08-2022 12:53:38
2022-01-28,2022-06-12 08:39:27,05-03-2022 22:46:39
2022-05-08,2022-10-28 05:00:22,06-06-2022 13:49:34
2022-07-02,2022-02-25 20:13:47,20-09-2022 01:57:17
2021-12-09,2022-03-29 01:34:39,31-01-2022 16:30:36
2022-06-05,2022-06-27 22:51:21,14-11-2022 10:19:57
2022-05-27,2022-10-11 07:53:03,01-11-2022 11:57:54
2022-08-09,2022-07-27 20:56:33,21-04-2022 18:55:38
2022-06-03,2021-11-28 12:01:20,17-01-2022 03:54:02
2022-07-19,2022-04-28 09:47:23,24-04-2022 16:08:50
2022-08-27,2022-02-07 21:22:22,06-08-2022 08:21:26
2022-07-28,2022-09-02 05:02:07,27-04-2022 10:59:15
2022-03-21,2022-01-13 01:41:45,15-05-2022 10:38:44
2022-06-11,2022-05-16 02:04:38,11-04-2022 05:15:23
2022-03-07,2021-12-19 23:28:46,07-05-2022 10:11:01
2022-02-01,2021-11-28 23:31:54,07-02-2022 17:22:26
2022-02-14,2022-04-25 16:36:43,13-02-2022 01:31:09
2022-05-11,2022-11-06 22:30:50,09-03-2022 09:56:45
2022-10-24,2022-08-21 01:14:28,09-08-2022 19:12:31
2022-07-21,2022-07-23 15:43:24,17-09-2022 08:02:22
2022-05-03,2022-05-29 01:37:23,28-08-2022 11:12:30
2022-01-13,2022-03-26 16:44:24,18-04-2022 10:36:05
2022-09-05,2022-05-17 00:38:31,12-07-2022 08:40:24
2021-11-21,2022-03-03 23:10:57,12-12-2021 07:03:15
2022-02-03,2022-11-09 07:21:35,07-10-2022 13:04:56
2022-06-15,2022-06-26 04:29:15,08-04-2022 07:41:01
2022-01-13,2022-10-07 03:14:47,27-03-2022 12:26:07
2021-12-15,2021-12-17 07:14:21,22-06-2022 18:40:26
2022-02-07,2021-12-28 00:40:33,26-02-2022 05:05:41
2021-11-27,2022-06-06 00:49:59,28-04-2022 21:57:44
2022-04-25,2022-07-09 04:29:47,03-01-2022 01:57:48
2022-07-31,2022-04-29 16:22:27,22-01-2022 02:04:54
2022-07-05,2022-11-14 19:54:04,28-06-2022 11:37:43
2022-06-15,2022-05-15 12:33:28,01-10-2022 22:37:44
2022-05-29,2021-12-02 10:45:55,03-08-2022 18:54:52
2022-05-06,2022-09-19 18:37:17,14-08-2022 02:38:32
2022-06-21,2022-06-28 09:53:55,14-02-2022 07:55:26
2022-10-22,2022-07-21 05:06:35,07-05-2022 23:07:03
2022-11-08,2022-04-25 16:44:31,19-02-2022 01:44:19
2022-01-13,2022-09-08 14:18:29,09-08-2022 22:25:58
2022-05-04,2022-11-08 23:38:30,13-05-2022 03:50:59
2022-10-14,2021-12-22 13:36:44,06-01-2022 10:28:47
2022-02-04,2022-09-10 20:05:35,17-06-2022 21:32:35
2022-10-15,2021-11-18 04:23:34,21-09-2022 03:00:15
2022-04-15,2022-06-13 01:59:02,13-04-2022 22:00:12
2022-05-08,2021-12-31 22:15:34,20-03-2022 21:51:48
2022-10-11,2022-05-18 07:36:38,21-09-2022 11:11:15
2022-02-21,2022-04-23 00:34:59,26-11-2021 08:39:47
2021-11-20,2022-03-16 17:05:44,27-11-2021 03:38:04
2022-05-28,2022-03-03 20:33:48,21-11-2021 00:42:45
2022-01-01,2022-04-17 00:20:31,23-05-2022 12:10:13
2022-05-04,2022-01-12 15:31:16,06-06-2022 06:40:01
2022-08-22,2022-04-21 05:28:53,29-09-2022 21:15:25
2022-08-07,2022-03-09 03:14:15,30-12-2021 21:13:36
2022-09-23,2022-09-18 11:10:39,25-09-2022 23:14:14
2022-09-22,2022-02-05 06:27:46,16-10-2022 13:14:01
2022-05-05,2022-06-26 22:55:49,03-03-2022 23:56:16
2022-06-26,2022-03-14 18:03:21,02-04-2022 00:16:47
2022-08-01,2022-09-21 10:10:09,28-12-2021 20:01:50
2022-01-26,2022-09-21 22:57:12,03-11-2022 03:27:27
2022-07-23,2022-09-12 15:06:45,16-02-2022 20:20:11
2022-08-13,2022-08-10 15:17:13,19-06-2022 01:56:32
2022-09-26,2021-12-18 00:12:11,31-03-2022 11:46:51
2021-12-02,2021-12-01 09:27:25,08-05-2022 11:37:10
2022-11-10,2022-03-20 13:36:58,23-06-2022 13:47:14
2022-11-10,2022-08-14 02:12:44,27-06-2022 21:13:25
2022-06-08,2022-04-28 14:04:28,24-02-2022 23:27:48
2021-12-29,2022-01-25 04:26:06,08-03-2022 14:37:05
2022-07-06,2022-10-20 03:17:08,11-01-2022 18:00:43
2022-11-01,2022-08-22 01:19:11,19-11-2021 09:35:04
2022-09-19,2022-04-23 06:31:03,11-10-2022 05:19:37
2022-04-15,2022-05-11 11:54:48,02-11-2022 10:16:48
2022-09-23,2022-08-17 00:35:06,22-07-2022 23:02:02
2022-08-03,2022-06-03 09:26:54,22-05-2022 23:20:10
2022-09-23,2022-04-16 00:36:50,31-03-2022 15:11:30
2022-06-13,2022-08-18 21:36:34,16-10-2022 21:05:57
2022-01-11,2022-06-18 08:44:58,28-08-2022 21:49:53
2022-08-13,2022-08-26 03:16:03,16-06-2022 01:38:33
2022-03-07,2022-07-10 06:00:26,13-05-2022 17:54:10
2021-12-20,2021-12-30 14:14:20,01-05-2022 01:16:40
2022-10-14,2022-08-03 12:36:59,17-02-2022 13:46:32
2022-07-09,2021-11-29 01:07:12,24-12-2021 13:00:35
2022-04-23,2022-01-08 20:47:34,01-08-2022 10:12:21
2022-10-14,2021-12-17 14:04:14,26-09-2022 06:59:28
2022-02-24,2022-10-29 11:25:11,22-06-2022 16:10:35
2022-10-12,2022-10-03 15:32:42,13-02-2022 21:34:28
2022-05-10,2022-01-19 08:12:02,17-03-2022 10:35:14
2022-08-09,2022-05-27 07:46:35,01-10-2022 21:32:08
2022-03-04,2022-10-16 04:13:50,16-04-2022 05:00:24
2022-10-25,2022-08-06 10:52:41,04-07-2022 11:02:58
2022-10-07,2022-04-23 05:15:44,01-10-2022 15:14:27
2022-08-04,2022-06-01 04:26:24,25-11-2021 09:07:50
2022-06-13,2022-05-30 13:04:27,22-01-2022 04:34:36
2022-10-14,2022-11-02 21:50:22,02-07-2022 23:43:48
2022-04-08,2022-10-30 02:53:43,28-01-2022 20:23:53
2022-02-28,2022-07-12 19:31:56,12-10-2022 11:26:51
2022-04-16,2022-03-12 23:50:56,31-08-2022 00:15:18
2022-10-28,2022-01-10 02:06:03,08-04-2022 01:38:01
2021-12-02,2021-12-22 02:41:59,26-10-2022 14:12:18
2022-08-05,2022-05-01 18:03:08,05-02-2022 16:58:17
2022-09-13,2022-10-21 12:26:35,05-03-2022 00:12:14
2022-02-04,2022-01-29 21:40:43,23-02-2022 05:03:19
2022-05-13,2022-01-30 21:43:05,01-09-2022 00:52:41
2022-09-02,2022-04-30 23:45:58,21-12-2021 08:53:38
2021-11-30,2022-04-13 22:56:33,05-03-2022 22:09:57
2022-06-09,2022-04-06 22:57:19,28-09-2022 03:06:02
2021-12-20,2022-02-02 14:50:13,18-05-2022 22:04:16
2021-11-22,2021-12-23 14:48:02,15-02-2022 17:54:19
2022-04-24,2022-04-12 09:41:06,31-08-2022 20:20:20
2022-01-19,2022-09-08 09:23:01,26-03-2022 11:40:59
2022-11-10,2021-11-15 21:39:18,02-10-2022 13:43:32
2022-03-16,2022-01-01 08:49:51,06-07-2022 17:42:40
2022-05-23,2022-09-10 21:05:05,07-04-2022 02:33:14
2022-03-25,2022-09-15 22:23:41,16-03-2022 12:27:47
2022-10-28,2022-09-15 15:27:06,16-12-2021 23:51:04
2022-05-16,2022-01-10 08:25:07,13-03-2022 06:24:20
2021-11-17,2022-02-25 10:07:01,26-11-2021 20:08:14
2022-10-02,2022-10-19 20:29:30,01-08-2022 00:59:33
2022-11-13,2022-04-05 16:52:39,09-05-2022 01:38:35
2022-02-24,2022-09-27 13:42:12,12-10-2022 07:16:41
2022-04-13,2022-06-08 21:28:16,09-04-2022 14:45:07
2022-07-27,2021-12-24 23:30:49,15-06-2022 05:37:42
2022-08-07,2022-08-10 07:33:22,30-04-2022 19:25:50
2021-11-17,2022-03-17 17:46:45,10-04-2022 22:22:52
2022-08-25,2022-03-17 21:52:33,04-11-2022 11:10:38
2021-12-16,2022-05-31 18:02:50,03-05-2022 21:55:20
2022-08-31,2021-11-28 21:20:46,28-09-2022 05:03:27
2022-10-10,2021-12-25 10:33:53,17-03-2022 23:19:26
2022-01-05,2022-06-02 19:53:48,01-09-2022 02:13:22
2022-04-18,2022-01-16 17:26:53,08-08-2022 04:04:24
2022-05-22,2022-09-10 23:11:07,29-09-2022 22:11:23
2021-11-19,2022-10-12 03:43:06,13-04-2022 04:41:39
2022-04-27,2022-07-29 16:48:31,11-10-2022 10:25:35
2021-12-02,2022-10-22 01:27:14,10-02-2022 11:34:20
2022-05-06,2021-12-22 02:11:46,13-10-2022 04:27:18
2022-07-14,2021-12-16 03:26:02,07-04-2022 06:07:02
2021-11-15,2022-01-08 05:49:55,21-03-2022 08:28:35
2022-04-20,2022-09-05 23:30:17,09-03-2022 06:50:49
2022-06-21,2022-06-25 00:50:10,10-01-2022 15:37:28
2022-05-06,2022-06-07 15:04:10,11-05-2022 14:02:54
2022-09-03,2022-04-09 22:20:27,28-01-2022 19:24:27
2022-05-18,2022-08-24 12:37:25,06-01-2022 13:54:09
2022-04-29,2022-08-09 13:03:37,24-02-2022 16:28:38
2022-09-19,2021-11-22 16:41:36,31-01-2022 01:21:26
2022-09-06,2022-04-27 15:06:29,06-10-2022 02:40:40
2022-04-22,2022-11-01 19:14:02,27-01-2022 06:48:50
2022-06-29,2022-11-08 06:37:47,01-04-2022 19:09:54
2021-12-09,2022-02-03 16:21:55,03-10-2022 10:35:54
2022-03-23,2021-12-31 20:33:49,01-04-2022 10:47:35
2022-09-12,2022-11-07 13:21:24,11-02-2022 04:12:26
2022-09-28,2022-10-12 11:38:28,21-02-2022 05:40:30
2022-04-01,2022-10-15 04:02:24,06-01-2022 08:23:15
2022-05-12,2022-07-01 16:45:22,18-02-2022 10:39:23
2022-03-21,2022-01-02 17:37:57,23-07-2022 09:14:29
2021-12-03,2022-05-17 09:56:03,27-10-2022 16:37:21
2022-01-01,2022-10-12 07:33:52,17-06-2022 17:24:39
2021-12-04,2022-10-16 13:00:57,23-03-2022 12:08:09
2022-08-11,2022-06-22 20:17:52,14-05-2022 02:28:26
2022-09-24,2022-03-10 19:56:14,25-08-2022 02:04:07
2022-01-01,2022-07-14 15:47:47,17-04-2022 00:36:19
2022-08-03,2022-06-12 09:35:48,16-02-2022 12:51:57
2022-10-19,2022-08-29 13:42:48,08-07-2022 05:32:12
2022-03-03,2022-10-07 10:34:49,19-09-2022 12:40:56
2022-07-12,2022-10-04 22:47:46,27-01-2022 06:09:33
2022-05-31,2022-01-06 05:22:53,10-08-2022 11:47:15
2021-11-20,2022-02-10 21:15:36,16-01-2022 14:15:49
2021-12-18,2022-09-13 05:29:31,17-12-2021 08:18:49
2022-02-24,2021-12-01 23:04:49,03-03-2022 22:49:08
2022-06-26,2022-09-18 11:48:51,22-11-2021 04:07:38
2022-10-28,2022-03-26 14:04:12,22-10-2022 05:40:52
